Código do Termo,Termo
30201012,Biópsia de lábio
30201020,Excisão com plástica de vermelhão
30201039,Excisão com reconstrução à custa de retalhos
30201047,Excisão com reconstrução total
30201055,Excisão em cunha
30201063,Frenotomia labial
30201071,Queiloplastia para fissura labial unilateral - por estágio
30201080,Reconstrução de sulco gengivo-labial
30201098,Reconstrução total do lábio
30201101,Tratamento cirúrgico da macrostomia
30201110,Tratamento cirúrgico da microstomia
30201128,Reconstrução parcial do lábio
30202019,Alongamento cirúrgico do palato mole
30202027,Biópsia de boca
30202035,Excisão de lesão maligna com reconstrução à custa de retalhos locais
30202043,Excisão de tumor de boca com mandibulectomia
30202051,Exérese de tumor e enxerto cutâneo ou mucoso
30202060,Fístula orofacial - tratamento cirúrgico
30202078,"Glossectomia subtotal ou total, com ou sem mandibulectomia"
30202086,Palato-queiloplastia unilateral
30202094,Palatoplastia com enxerto ósseo
30202108,Palatoplastia com retalho faríngeo
30202116,Palatoplastia com retalho miomucoso
30202124,Palatoplastia parcial
30202132,Palatoplastia total
30202140,Plástica do ducto parotídeo
30202159,"Laserterapia para o tratamento da mucosite oral / orofaringe, por sessão"
30203015,Frenotomia lingual
30203023,Tumor de língua - tratamento cirúrgico
30203031,Biópsia de língua
30204011,Biópsia de glândula salivar
30204020,Excisão de glândula submandibular
30204038,Exérese de rânula ou mucocele
30204046,Parotidectomia parcial com conservação do nervo facial
30204054,Parotidectomia total ampliada com ou sem reconstrução com retalhos locais
30204062,Parotidectomia total com conservação do nervo facial
30204070,Parotidectomia total com reconstrução do nervo facial
30204089,"Parotidectomia total com sacrificio do nervo facial, sem reconstrução"
30204097,Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar
30204100,Ressecção de tumor de glândula sublingual
30205018,Abscesso faríngeo - qualquer área
30207010,Redução de fratura do malar (sem fixação)
30207029,Redução de fratura do malar (com fixação)
30207037,Redução de fratura de seio frontal (acesso frontal)
30207045,Redução de fratura de seio frontal (acesso coronal)
30207061,Fratura do arco zigomático - redução instrumental sem fixação
30207070,Fratura do arco zigomático - redução cirúrgica com fixação
30207088,Fratura  simples de mandíbula com contenção e bloqueio intermaxilar eventual
30207096,Fratura simples de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual
30207100,Fratura naso etmóido órbito-etmoidal
30207118,Fratura cominutiva de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual
30207126,Fraturas complexas de mandíbula - redução cirúrgica com fixação óssea e eventual bloqueio intermaxilar
30207134,Fraturas alveolares - fixação com aparelho e contenção
30207142,"Fratura de maxila, tipo Lefort I e II - redução e aplicação de levantamento zigomático-maxilar com bloqueio intermaxilar eventual"
30207150,"Fratura de maxila, tipo Lefort III - redução e aplicação de levantamento crânio-maxilar com bloqueio intermaxilar eventual"
30207169,"Fratura Lefort I - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual"
30207177,"Fratura Lefort II - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual"
30207185,"Fratura Lefort III - fixação cirúrgica com síntese óssea, levantamento crânio-maxilar e bloqueio intermaxilar eventual"
30207193,"Fraturas múltiplas de terço médio da face:fixação cirúrgica com síntese óssea, levantamento crânio maxilar e bloqueio intermaxilar"
30207207,"Fraturas complexas do terço médio da face, fixação cirúrgica com síntese, levantamento crânio-maxilar, enxerto ósseo, halo craniano eventual"
30207215,Retirada dos meios de fixação (na face)
30207223,Tratamento conservador de fratura de ossos
30207231,Redução de luxação do ATM
30208017,Artroplastia para luxação recidivante da articulação têmporo-mandibular
30208025,"Osteoplastia para prognatismo, micrognatismo ou laterognatismo"
30208033,Osteotomias alvéolo palatinas
30208041,Osteotomias segmentares da maxila ou malar
30208050,Osteotomia tipo Lefort I
30208068,Osteotomia tipo Lefort II
30208076,Osteotomia tipo Lefort III - extracraniana
30208084,Osteotomia crânio-maxilares complexas
30208092,Redução simples da luxação da articulação têmporo-mandibular com fixação intermaxilar
30208106,Reconstrução parcial da mandíbula com enxerto ósseo
30208114,Reconstrução total de mandíbula com prótese e ou enxerto ósseo
30208122,Tratamento cirúrgico de anquilose da articulação têmporo-mandibular
30208130,Translocação etmóido orbital para tratamento do hipertelorismo    miocutâneo associado a expansor de tecido - por lado
30208149,Tratamento cirúrgico ou artroplastia para luxação da articulação têmporo mandibular por artroscopia
30208157,Osteotomia da mandíbula e/ou maxila com aplicação de osteodistrator
30209013,Osteoplastias etmóido orbitais
30209021,Osteoplastias de mandíbula
30209030,Osteoplastias do arco zigomático
30209048,Osteoplastias da órbita
30209056,Correção cirúrgica de depressão (afundamento) da região frontal
30210020,"Correção de tumores, cicatrizes ou ferimentos com o auxílio de expansores de tecidos - por estágio"
30210070,Reconstrução com retalhos axiais supra-orbitais e supratrocleares
30210089,Reconstrução com retalho axial da artéria temporal superficial
30210097,Reconstrução com retalhos em VY de pedículo subarterial
30210100,Reconstrução com rotação do músculo temporal
30210119,Exérese de tumor maligno de pele
30210127,"Exérese de tumor benigno, cisto ou fístula"
30211018,Biópsia de mandíbula
30211034,Ressecção de tumor de mandíbula com desarticulação de ATM
30211042,Hemimandibulectomia ou ressecção segmentar ou seccional da mandíbula
30211050,Mandibulectomia total
30211069,Mandibulectomia com ou sem esvaziamento orbitário e rinotomia lateral
81000014,Condicionamento em Odontologia
81000030,Consulta odontológica
81000049,Consulta odontológica de Urgência
81000057,Consulta odontológica de Urgência 24 hs
81000065,Consulta odontológica inicial
81000073,Consulta odontológica para avaliação técnica de auditoria
81000090,Consulta para Técnica de Clareamento Dentário Caseiro
81000111,Diagnóstico anatomopatológico em citologia esfoliativa na região buco-maxilo-facial
81000138,Diagnóstico anatomopatológico em material de biópsia na região buco-maxilo-facial
81000154,Diagnóstico anatomopatológico em peça cirúrgica na região buco-maxilo-facial
81000170,Diagnóstico anatomopatológico em punção na região buco-maxilo-facial
81000189,Diagnóstico e planejamento para tratamento odontológico
81000197,Diagnóstico e tratamento de estomatite herpética
81000200,Diagnóstico e tratamento de estomatite por candidose
81000219,Diagnóstico e tratamento de halitose
81000235,Diagnóstico e tratamento de xerostomia
81000243,Diagnóstico por meio de enceramento
81000260,Diagnóstico por meio de procedimentos laboratoriais
81000278,Fotografia
81000294,Levantamento Radiográfico (Exame Radiodôntico)
81000308,Modelos ortodônticos
81000324,Radiografia antero-posterior
81000340,Radiografia da ATM
81000367,Radiografia da mão e punho - carpal
81000375,Radiografia interproximal - bite-wing
81000405,Radiografia panorâmica de mandíbula/maxila (ortopantomografia)
81000413,Radiografia panorâmica de mandíbula/maxila (ortopantomografia) com traçado para implantes
81000421,Radiografia periapical
81000430,Radiografia póstero-anterior
81000456,Slide
81000472,Telerradiografia
81000480,Telerradiografia com traçado cefalométrico
81000510,Tomografia computadorizada por feixe cônico – cone beam
81000529,Tomografia convencional – linear ou multi-direcional
81000537,Traçado Cefalométrico
81000545,Diagnóstico e tratamento de trismo
81000553,Documentação odontológica em mídia digital
81000561,Radiografia lateral corpo da mandíbula
81000570,Técnica de localização radiográfica
82000026,Acompanhamento de tratamento/procedimento cirúrgico em odontologia
82000034,Alveoloplastia
82000050,Amputação radicular com obturação retrógrada
82000069,Amputação radicular sem obturação retrógrada
82000077,Apicetomia birradiculares com obturação retrógrada
82000085,Apicetomia birradiculares sem obturação retrógrada
82000158,Apicetomia multirradiculares com obturação retrógrada
82000166,Apicetomia multirradiculares sem obturação retrógrada
82000174,Apicetomia unirradiculares com obturação retrógrada
82000182,Apicetomia unirradiculares sem obturação retrógrada
82000190,Aprofundamento/aumento de vestíbulo
82000212,Aumento de coroa clínica
82000280,Biópsia de maxila
82000298,Bridectomia
82000301,Bridotomia
82000336,Cirurgia odontológica a retalho
82000344,Cirurgia odontológica com aplicação de aloenxertos
82000352,Cirurgia para exostose maxilar
82000360,Cirurgia para torus mandibular – bilateral
82000387,Cirurgia para torus mandibular – unilateral
82000395,Cirurgia para torus palatino
82000417,Cirurgia periodontal a retalho
82000441,Coleta de raspado em lesões ou sítios específicos da região buco-maxilo-facial
82000468,Controle de hemorragia com aplicação de agente hemostático em região buco-maxilo-facial
82000484,Controle de hemorragia sem aplicação de agente hemostático em região buco-maxilo-facial
82000506,Controle pós-operatório em odontologia
82000522,Criocirurgia de neoplasias da região buco-maxilo-facial
82000549,Crioterapia ou termoterapia em odontologia
82000557,Cunha proximal
82000581,Enxerto com osso autógeno da linha oblíqua
82000603,Enxerto com osso autógeno do mento
82000620,Enxerto com osso liofilizado
82000646,Enxerto conjuntivo subepitelial
82000662,Enxerto gengival livre
82000689,Enxerto pediculado
82000700,Estabilização de paciente por meio de contenção física e/ou mecânica
82000743,Exérese de lipoma na região buco-maxilo-facial
82000778,Exérese ou excisão de cálculo salivar
82000786,Exérese ou excisão de cistos odontológicos
82000794,Exérese ou excisão de mucocele
82000808,Exérese ou excisão de rânula
82000816,Exodontia a retalho
82000832,Exodontia de permanente por indicação ortodôntica/protética
82000859,Exodontia de raiz residual
82000875,Exodontia simples de permanente
82000883,Frenulectomia labial
82000891,Frenulectomia lingual
82000905,Frenulotomia labial
82000913,Frenulotomia lingual
82000921,Gengivectomia
82000948,Gengivoplastia
82000964,Implante ortodôntico
82000980,Implante ósseo integrado
82001006,Implante Zigomático
82001022,"Incisão e Drenagem extra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial"
82001030,"Incisão e Drenagem intra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial"
82001049,Levantamento do seio maxilar com osso autógeno
82001057,Levantamento do seio maxilar com osso homólogo
82001065,Levantamento do seio maxilar com osso liofilizado
82001073,Odonto-secção
82001103,Punção aspirativa na região buco-maxilo-facial
82001120,Punção aspirativa orientada por imagem na região buco-maxilo-facial
82001138,Reabertura - colocação de cicatrizador
82001170,Redução cruenta de fratura alvéolo dentária
82001189,Redução incruenta de fratura alvéolo dentária
82001197,Redução simples de luxação de Articulação Têmporo-mandibular (ATM)
82001219,Reeducação e/ou reabilitação de distúrbio buco-maxilo-facial
82001235,Reeducação e/ou reabilitação de sequela em traumatismo buco-maxilo-facial
82001243,Regeneração tecidual guiada – RTG
82001251,Reimplante dentário com contenção
82001286,Remoção de dentes inclusos / impactados
82001294,Remoção de dentes semi-inclusos / impactados
82001308,Remoção de dreno extra-oral
82001316,Remoção de dreno intra-oral
82001324,Remoção de implante dentário não ósseo integrado
82001332,Remoção de implante dentário ósseo integrado no seio maxilar
82001367,Remoção de odontoma
82001375,Remoção de tamponamento nasal
82001391,Retirada de corpo estranho oroantral ou oronasal da região buco-maxilo-facial
82001413,Retirada de corpo estranho subcutâneo ou submucoso da região buco-maxilo-facial
82001430,Retirada dos meios de fixação da região buco-maxilo-facial
82001448,Sedação consciente com óxido nitroso e oxigênio em odontologia
82001456,Sedação medicamentosa ambulatorial em odontologia
82001464,Sepultamento radicular
82001499,Sutura de ferida em região buco-maxilo-facial
82001502,Tracionamento cirúrgico com finalidade ortodôntica
82001510,Tratamento cirúrgico das fístulas buco nasal
82001529,Tratamento cirúrgico das fístulas buco sinusal
82001545,Tratamento cirúrgico de bridas constritivas da região buco-maxilo-facial
82001553,Tratamento cirúrgico de hiperplasias de tecidos moles na região buco-maxilo-facial
82001588,Tratamento cirúrgico de hiperplasias de tecidos ósseos/cartilaginosos na região buco-maxilo-facial
82001596,Tratamento cirúrgico de tumores benignos de tecidos ósseos/cartilaginosos na região buco-maxilo-facial
82001618,Tratamento cirúrgico dos tumores benignos de tecidos moles na região buco-maxilo-facial
82001634,Tratamento Cirúrgico para tumores odontogênicos benignos – sem reconstrução
82001642,Tratamento conservador de luxação da articulação têmporo-mandibular - ATM
82001650,Tratamento de alveolite
82001669,Tratamento odontológico regenerativo com enxerto de osso autógeno
82001685,Tunelização
82001707,Ulectomia
82001715,Ulotomia
82001723,Aplicação de laser pós cirúrgico
82001731,Exodontia de semi-incluso/impactado supra numerário
82001740,Exodontia de incluso/impactado supra numerário
82001758,Marsupialização de cistos odontológicos
82001766,Placa de contenção cirúrgica
83000020,Coroa de acetato em dente decíduo
83000046,Coroa de aço em dente decíduo
83000062,Coroa de policarbonato em dente decíduo
83000089,Exodontia simples de decíduo
83000097,Mantenedor de espaço fixo
83000100,Mantenedor de espaço removível
83000127,Pulpotomia em dente decíduo
83000135,Restauração atraumática em dente decíduo
83000151,Tratamento endodôntico em dente decíduo
84000015,Aparelho protetor bucal
84000031,Aplicação de cariostático
84000058,Aplicação de selante - técnica invasiva
84000074,Aplicação de selante de fóssulas e fissuras
84000090,Aplicação tópica de flúor
84000112,Aplicação tópica de verniz fluoretado
84000139,Atividade educativa em saúde bucal
84000163,Controle de biofilme (placa bacteriana)
84000171,Controle de cárie incipiente
84000198,Profilaxia: polimento coronário
84000201,Remineralização
84000228,Teste de capacidade tampão da saliva
84000236,Teste de contagem microbiológica
84000252,Teste de PH salivar
85000787,Imobilização dentária em dentes decíduos
85100013,Capeamento pulpar direto
85100021,Clareamento dentário caseiro
85100030,Clareamento dentário de consultório
85100048,Colagem de fragmentos dentários
85100056,Curativo de demora em endodontia
85100064,Faceta direta em resina fotopolimerizável
85100072,Placa de Acetato para Clareamento Caseiro
85100080,Restauração atraumática em dente permanente
85100099,Restauração de amálgama  - 1 face
85100102,Restauração de amálgama - 2 faces
85100110,Restauração de amálgama - 3 faces
85100129,Restauração de amálgama - 4 faces
85100137,Restauração em ionômero de vidro - 1 face
85100145,Restauração em ionômero de vidro - 2 faces
85100153,Restauração em ionômero de vidro - 3 faces
85100161,Restauração em ionômero de vidro - 4 faces
85100170,Restauração em resina (indireta) - Inlay
85100196,Restauração em resina fotopolimerizável  1 face
85100200,Restauração em resina fotopolimerizável  2 faces
85100218,Restauração em resina fotopolimerizável  3 faces
85100226,Restauração em resina fotopolimerizável  4 faces
85100234,Tratamento de fluorose - microabrasão
85100242,Adequação do meio bucal
85100250,Aplicação de laser terapêutico
85100269,Dessensibilização dentinária
85200018,Clareamento de dente desvitalizado
85200026,Preparo para núcleo intrarradicular
85200034,Pulpectomia
85200042,Pulpotomia
85200050,Remoção de corpo estranho intracanal
85200069,Remoção de material obturador intracanal para retratamento endodôntico
85200077,Remoção de núcleo intrarradicular
85200085,Restauração temporária / tratamento expectante
85200093,Retratamento endodôntico birradicular
85200107,Retratamento endodôntico multirradicular
85200115,Retratamento endodôntico unirradicular
85200123,Tratamento de perfuração endodôntica
85200131,Tratamento endodôndico de dente com rizogênese incompleta
85200140,Tratamento endodôntico birradicular
85200158,Tratamento endodôntico multirradicular
85200166,Tratamento endodôntico unirradicular
85200174,Curativo endodôntico em situação de urgência
85200182,Curetagem apical
85300012,Dessensibilização dentária
85300020,Imobilização dentária em dentes permanentes
85300039,Raspagem sub-gengival/alisamento radicular
85300047,Raspagem supra-gengival
85300055,Remoção dos fatores de retenção do Biofilme Dental (Placa Bacteriana)
85300063,Tratamento de abscesso periodontal agudo
85300071,Tratamento de gengivite necrosante aguda - GNA
85300080,Tratamento de pericoronarite
85300098,Manutenção periodontal
85300101,Tracionamento de raiz residual
85400017,Ajuste Oclusal por acréscimo
85400025,Ajuste Oclusal por desgaste seletivo
85400033,Conserto em prótese parcial removível (em consultório e em laboratório)
85400041,Conserto em prótese parcial removível (exclusivamente em consultório)
85400050,Conserto em prótese total (em consultório e em laboratório)
85400068,Conserto em prótese total (exclusivamente em consultório)
85400076,Coroa provisória com pino
85400084,Coroa provisória sem pino
85400092,Coroa total acrílica prensada
85400106,Coroa total em cerâmica pura
85400114,Coroa total em cerômero
85400122,Coroa total livre de metal (metalfree) sobre implante - cerâmica
85400130,Coroa total livre de metal (metalfree) sobre implante - cerômero
85400149,Coroa total metálica
85400157,Coroa total metalo cerâmica
85400165,Coroa total metalo plástica – cerômero
85400173,Coroa total metalo plástica – resina acrílica
85400181,Faceta em cerâmica pura
85400190,Faceta em cerômero
85400203,Guia cirúrgico para prótese total imediata
85400211,Núcleo de preenchimento
85400220,Núcleo metálico fundido
85400238,Onlay de Resina Indireta
85400246,Órtese miorrelaxante (placa oclusal estabilizadora)
85400254,Órtese reposicionadora (placa oclusal reposicionadora)
85400262,Pino pré fabricado
85400270,Placa oclusal resiliente
85400289,Prótese fixa adesiva direta (provisória)
85400297,Prótese fixa adesiva em cerômero livre de metal (metal free)
85400300,Prótese fixa adesiva indireta em metalo cerâmica
85400319,Prótese fixa adesiva indireta em metalo plástica
85400327,Prótese parcial fixa em cerômero livre de metal (metal free)
85400335,Prótese parcial fixa em metalo cerâmica
85400343,Prótese parcial fixa em metalo plástica
85400351,Prótese parcial fixa In Ceran livre de metal (metal free)
85400360,Prótese parcial fixa provisória
85400378,Prótese parcial removível com encaixes de precisão ou de semi precisão
85400386,Prótese parcial removível com grampos bilateral
85400394,Prótese parcial removível provisória em acrílico com ou sem grampos
85400408,Prótese total
85400416,Prótese total imediata
85400424,Prótese total incolor
85400432,Provisório para Faceta
85400440,Provisório para Inlay/Onlay
85400459,Provisório para Restauração metálica fundida
85400467,Recimentação de trabalhos protéticos
85400475,Reembasamento de coroa provisória
85400483,Reembasamento de prótese total ou parcial - imediato (em consultório)
85400491,Reembasamento de prótese total ou parcial - mediato (em laboratório)
85400505,Remoção de trabalho protético
85400513,Restauração em cerâmica pura - inlay
85400521,Restauração em cerâmica pura - onlay
85400530,Restauração em cerômero - onlay
85400548,Restauração em cerômero - inlay
85400556,Restauração metálica fundida
85400564,Prótese total imediata sobre implantes
85400572,Coroa 3/4 ou 4/5
85400580,JIG ou Front plato - órtese reposicionadora
85400599,Planejamento em prótese
85400602,Ponto de solda
85400610,Prótese total caracterizada
85500011,Coroa provisória sobre implante
85500020,Coroa provisória sobre implante com carga imediata
85500038,Coroa total metalo cerâmica sobre implante
85500046,Coroa total metalo plástica sobre implante – cerômero
85500054,Coroa total metalo plástica sobre implante – resina acrílica
85500062,Guia cirúrgico para implante
85500070,Intermediário protético (para implantes)
85500089,Manutenção de prótese sobre implantes
85500097,Overdenture barra clipe ou o'ring sobre dois implantes
85500100,Overdenture barra clipe ou o'ring sobre quatro ou mais implantes
85500119,Overdenture barra clipe ou o'ring sobre três implantes
85500127,Prótese parcial fixa implanto suportada
85500135,Prótese parcial fixa provisória em carga imediata
85500143,Protocolo Branemark em carga imediata para 4 implantes - parte protética
85500151,Protocolo Branemark em carga imediata para 5 implantes - parte protética
85500160,Protocolo Branemark para 4 implantes
85500178,Protocolo Branemark para 5 implantes
85500186,Protocolo Branemark provisório para 4 implantes
85500194,Protocolo Branemark provisório para 5 implantes
85500208,Barra clipe
85500216,Plasma rico em plaquetas (PRP)
85500224,Tratamento de perimplantite por implante
86000012,Aletas Gomes
86000020,Aparelho de Klammt
86000039,Aparelho de protração mandibular -  APM
86000047,Aparelho de Thurow
86000055,Aparelho extra-bucal
86000063,Aparelho ortodôntico fixo estético
86000080,Aparelho ortodôntico fixo estético parcial
86000098,Aparelho ortodôntico fixo metálico
86000110,Aparelho ortodôntico fixo metálico parcial
86000128,Aparelho removível com alças bionator invertida ou de Escheler
86000144,Arco lingual
86000152,Barra transpalatina fixa
86000160,Barra transpalatina removível
86000179,Bionator de Balters
86000187,Blocos geminados de Clark – twinblock
86000195,Botão de Nance
86000209,"Contenção fixa por arcada, em ortodontia"
86000225,Disjuntor palatino - Hirax
86000233,Disjuntor palatino - Macnamara
86000241,Distalizador com mola nitinol
86000250,Distalizador de Hilgers
86000268,Distalizador Distal Jet
86000276,Distalizador Pendulo/Pendex
86000284,Distalizador tipo Jones Jig
86000292,Documentação eletromiográfica
86000306,Gianelly
86000314,Grade palatina fixa
86000322,Grade palatina removível
86000330,Herbst encapsulado
86000357,Manutenção de aparelho ortodôntico - aparelho fixo
86000365,Manutenção de aparelho ortodôntico - aparelho ortopédico
86000373,Manutenção de aparelho ortodôntico - aparelho removível
86000381,Máscara facial – Delaire e Tração Reversa
86000390,Mentoneira
86000403,Modelador elástico de Bimler
86000411,Monobloco
86000420,Obtenção de modelos gnatostáticos de Planas
86000438,Pistas diretas de Planas - superior e inferior
86000446,Pistas indiretas de Planas
86000454,Placa de distalização de molares
86000462,Placa de Hawley
86000470,Placa de Hawley - com torno expansor
86000489,Placa de mordida ortodôntica
86000497,Placa de Schwarz
86000500,Placa de verticalização de caninos
86000519,Placa dupla de Sanders
86000527,Placa encapsulada de Maurício
86000535,Placa lábio-ativa
86000543,Plano anterior fixo
86000551,Plano inclinado
86000560,Quadrihélice
86000578,Regulador de função de Frankel
86000586,Simões Network
86000594,Splinter
86000608,Placa de contenção ortodôntica
86000616,Recolocação de mantenedor de espaço
87000016,Atividade educativa em odontologia para pais e/ou cuidadores de pacientes com necessidades especiais
87000024,Atividade educativa para pais e/ou cuidadores
87000032,Condicionamento em odontologia para pacientes com necessidades especiais
87000040,Coroa de acetato em dente permanente
87000059,Coroa de aço em dente permanente
87000067,Coroa de policarbonato em dente permanente
87000148,Estabilização por meio de contenção física e/ou mecânica em pacientes com necessidades especiais em odontologia
87000164,Sedação consciente com óxido nitroso e oxigênio em pacientes com necessidades especiais em odontologia
87000180,Sedação medicamentosa ambulatorial em pacientes com necessidades especiais em odontologia
87000199,Colocação de aparelho ortodôntico removível